team,minutes_played_x,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_possessions,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,game_code,home_team_bin
CHO,240.0,38,88,0.432,8,32,0.25,19,26,0.731,9,28,37,24,9,5,9,17,103,96.86141025641027,0.518,0.477,0.364,0.295,20.0,71.8,44.0,63.2,9.3,10.6,8.3,100.0,106.3,122.9,201812230BOS,0
BOS,240.0,43,86,0.5,13,39,0.333,20,25,0.8,11,36,47,30,8,4,14,22,119,96.86141025641027,0.613,0.576,0.453,0.291,28.2,80.0,56.0,69.8,8.3,7.1,12.6,100.0,122.9,106.3,201812230BOS,1
