ml_winnings,spread_winnings,total_winnings,book,game_id,season,date,agg_winnings,day
-25.00,-25.00,-25.00,MyBookie,1413176,20-21,2021-05-26 19:00:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,BetNow,1413176,20-21,2021-05-26 19:00:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,SportsBetting,1413176,20-21,2021-05-26 19:00:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,Intertops,1413176,20-21,2021-05-26 19:00:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,BetOnline,1413176,20-21,2021-05-26 19:00:00,-75.00,2021-05-26
-25.00,-25.00,22.73,Opening,1413176,20-21,2021-05-26 19:00:00,-27.27,2021-05-26
-25.00,-25.00,23.36,best,1413176,20-21,2021-05-26 19:00:00,-26.64,2021-05-26
-25.00,-25.00,-25.00,worst,1413176,20-21,2021-05-26 19:00:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,average,1413176,20-21,2021-05-26 19:00:00,-75.00,2021-05-26
-25.00,-25.00,22.73,BOVADA,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.93,GTBets,1386006,20-21,2021-04-30 20:00:00,-27.07,2021-04-30
-25.00,-25.00,22.73,MyBookie,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.73,BetNow,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.73,SportsBetting,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.73,Intertops,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.73,BetOnline,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.73,Opening,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.93,best,1386006,20-21,2021-04-30 20:00:00,-27.07,2021-04-30
-25.00,-25.00,22.73,worst,1386006,20-21,2021-04-30 20:00:00,-27.27,2021-04-30
-25.00,-25.00,22.75,average,1386006,20-21,2021-04-30 20:00:00,-27.25,2021-04-30
-25.00,-25.00,22.73,BOVADA,1413191,20-21,2021-06-02 19:00:00,-27.27,2021-06-02
-25.00,-25.00,22.93,GTBets,1413191,20-21,2021-06-02 19:00:00,-27.07,2021-06-02
-25.00,-25.00,22.73,MyBookie,1413191,20-21,2021-06-02 19:00:00,-27.27,2021-06-02
-25.00,-25.00,22.73,BetNow,1413191,20-21,2021-06-02 19:00:00,-27.27,2021-06-02
-25.00,-25.00,21.74,SportsBetting,1413191,20-21,2021-06-02 19:00:00,-28.26,2021-06-02
-25.00,-25.00,22.73,Intertops,1413191,20-21,2021-06-02 19:00:00,-27.27,2021-06-02
-25.00,-25.00,21.74,BetOnline,1413191,20-21,2021-06-02 19:00:00,-28.26,2021-06-02
-25.00,-25.00,-25.00,Opening,1413191,20-21,2021-06-02 19:00:00,-75.00,2021-06-02
-25.00,-25.00,-25.00,best,1413191,20-21,2021-06-02 19:00:00,-75.00,2021-06-02
-25.00,-25.00,21.74,worst,1413191,20-21,2021-06-02 19:00:00,-28.26,2021-06-02
-25.00,-25.00,22.51,average,1413191,20-21,2021-06-02 19:00:00,-27.49,2021-06-02
6.25,-25.00,23.81,BOVADA,1412816,20-21,2021-05-22 20:00:00,5.06,2021-05-22
6.10,-25.00,22.93,GTBets,1412816,20-21,2021-05-22 20:00:00,4.03,2021-05-22
6.25,-25.00,22.73,MyBookie,1412816,20-21,2021-05-22 20:00:00,3.98,2021-05-22
6.58,-25.00,22.73,BetNow,1412816,20-21,2021-05-22 20:00:00,4.31,2021-05-22
6.33,-25.00,23.36,SportsBetting,1412816,20-21,2021-05-22 20:00:00,4.69,2021-05-22
6.58,-25.00,22.73,Intertops,1412816,20-21,2021-05-22 20:00:00,4.31,2021-05-22
6.33,-25.00,23.36,BetOnline,1412816,20-21,2021-05-22 20:00:00,4.69,2021-05-22
7.35,-25.00,-25.00,Opening,1412816,20-21,2021-05-22 20:00:00,-42.65,2021-05-22
7.35,-25.00,23.81,best,1412816,20-21,2021-05-22 20:00:00,6.16,2021-05-22
6.10,-25.00,-25.00,worst,1412816,20-21,2021-05-22 20:00:00,-43.90,2021-05-22
6.47,-25.00,23.05,average,1412816,20-21,2021-05-22 20:00:00,4.52,2021-05-22
26.25,22.73,-25.00,BOVADA,1412806,20-21,2021-05-23 19:00:00,23.98,2021-05-23
25.00,22.93,-25.00,GTBets,1412806,20-21,2021-05-23 19:00:00,22.94,2021-05-23
23.81,22.73,-25.00,MyBookie,1412806,20-21,2021-05-23 19:00:00,21.54,2021-05-23
25.00,22.73,-25.00,BetNow,1412806,20-21,2021-05-23 19:00:00,22.73,2021-05-23
25.50,22.73,-25.00,SportsBetting,1412806,20-21,2021-05-23 19:00:00,23.23,2021-05-23
25.00,22.73,-25.00,Intertops,1412806,20-21,2021-05-23 19:00:00,22.73,2021-05-23
25.50,22.73,-25.00,BetOnline,1412806,20-21,2021-05-23 19:00:00,23.23,2021-05-23
26.50,23.36,-25.00,Opening,1412806,20-21,2021-05-23 19:00:00,24.86,2021-05-23
26.50,23.36,-25.00,best,1412806,20-21,2021-05-23 19:00:00,24.86,2021-05-23
23.81,22.73,-25.00,worst,1412806,20-21,2021-05-23 19:00:00,21.54,2021-05-23
25.32,22.83,-25.00,average,1412806,20-21,2021-05-23 19:00:00,23.15,2021-05-23
-25.00,-25.00,-25.00,BOVADA,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,GTBets,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,MyBookie,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,BetNow,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,SportsBetting,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,Intertops,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,BetOnline,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,Opening,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,best,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,worst,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,-25.00,-25.00,average,1412996,20-21,2021-05-26 19:30:00,-75.00,2021-05-26
-25.00,21.74,-25.00,BOVADA,1386986,20-21,2021-05-13 19:30:00,-28.26,2021-05-13
-25.00,22.93,-25.00,GTBets,1386986,20-21,2021-05-13 19:30:00,-27.07,2021-05-13
-25.00,22.73,-25.00,MyBookie,1386986,20-21,2021-05-13 19:30:00,-27.27,2021-05-13
-25.00,22.73,-25.00,BetNow,1386986,20-21,2021-05-13 19:30:00,-27.27,2021-05-13
-25.00,21.74,-25.00,SportsBetting,1386986,20-21,2021-05-13 19:30:00,-28.26,2021-05-13
-25.00,22.73,-25.00,Intertops,1386986,20-21,2021-05-13 19:30:00,-27.27,2021-05-13
-25.00,21.74,-25.00,BetOnline,1386986,20-21,2021-05-13 19:30:00,-28.26,2021-05-13
