book,day,ml_winnings,spread_winnings,total_winnings,agg_winnings,season
best,2018-01-12,170.34,112.52,64.20,347.07,17-18
best,2018-01-13,85.68,67.73,17.18,170.60,17-18
best,2018-01-14,43.18,-52.06,-3.46,-12.35,17-18
best,2018-01-15,83.18,67.36,12.66,163.20,17-18
best,2018-01-16,20.23,94.80,-4.34,110.69,17-18
best,2018-01-17,-59.09,-104.88,135.90,-28.07,17-18
best,2018-01-18,72.95,44.47,91.12,208.54,17-18
best,2018-01-19,113.75,68.61,66.63,248.99,17-18
best,2018-01-20,-81.82,-79.23,16.01,-145.04,17-18
best,2018-01-21,264.75,93.04,43.18,400.97,17-18
best,2018-01-22,23.41,-27.79,113.60,109.22,17-18
best,2018-01-23,45.45,73.90,66.55,185.90,17-18
best,2018-01-24,72.41,-81.19,160.05,151.27,17-18
best,2018-01-25,-4.55,-52.27,-52.27,-109.09,17-18
best,2018-01-26,67.66,-7.01,187.92,248.57,17-18
best,2018-01-27,111.36,19.89,16.12,147.38,17-18
best,2018-01-28,63.64,-78.23,18.18,3.58,17-18
